,Original,Model 1,Model 2,Model 3,Model 4,Model 5,BNDES,BRAZIL,CHILE,COLOM,COSTAR,MEX,PANAMA,PERU
Spread6m,0.006431991,0.006280457,0.006303589,0.008317036,0.006120758,0.006230364,0.007185,0.006431991,0.003587667,0.010188824,0.0111555,0.012898732,0.008488138,0.006604091
Spread1y,0.009591783,0.008534215,0.008503123,0.010194144,0.008310613,0.008423601,0.009752692,0.009591783,0.005888185,0.011806422,0.012253347,0.015280352,0.010925306,0.008975766
Spread2y,0.01162054,0.010725231,0.010656307,0.011837051,0.010464603,0.011639412,0.017249842,0.01162054,0.00737574,0.014860432,0.015400782,0.01695405,0.014524365,0.01218338
Spread3y,0.013804715,0.012094082,0.012074359,0.013008059,0.011879975,0.012476839,0.018410062,0.013804715,0.009463813,0.017086214,0.018099702,0.018265383,0.017162729,0.014408726
Spread4y,0.015790818,0.0135183,0.013456006,0.014126278,0.013266487,0.013957702,0.019996169,0.015790818,0.011288435,0.019392236,0.019950238,0.020144863,0.019349333,0.016663026
Spread5y,0.017975549,0.014948789,0.014850105,0.01514414,0.014672718,0.01498459,0.022491307,0.017975549,0.012855051,0.021535911,0.02275031,0.021848679,0.021669227,0.018857521
Spread7y,0.01933602,0.015544281,0.015420506,0.015261717,0.015244808,0.014589134,0.023728703,0.01933602,0.013687943,0.022538193,0.023878835,0.022601928,0.022573268,0.019956739
Spread10y,0.020597514,0.016274366,0.016180336,0.015396897,0.016019318,0.016598567,0.025640924,0.020597514,0.014338879,0.023711739,0.023306968,0.023592326,0.023651269,0.021124876
Spread15y,0.021343053,0.017367114,0.017527926,0.016077609,0.01737223,0.017982191,0.028512569,0.021343053,0.014818515,0.024142741,0.026884798,0.024025489,0.024120321,0.021731045
Spread20y,0.022071184,0.018423272,0.017917197,0.016316006,0.017768107,0.018726619,0.030092383,0.022071184,0.015624715,0.024597781,0.027823722,0.024610419,0.024124514,0.022193676
Spread30y,0.021974836,0.017891358,0.01828635,0.016200413,0.018154713,0.019011836,0.030691886,0.021974836,0.015522025,0.025016306,0.027101732,0.025096616,0.024133762,0.022522035
